combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFull,college,ageAtDraft,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle
10000,1987,CB,69.8,198,8.5,Michael Adams,Arkansas State,23.076712328767100,30.5,4.42,32.0,13.0,4.6,118.0,,11.91
10001,1987,C,74.8,266,10.25,John Adickes,Baylor,22.843835616438400,30.0,4.97,26.5,25.0,4.6,103.0,,
10002,1987,FB,71.8,217,9.0,Tommy Agee,Auburn,,30.75,,,15.0,,,,
10003,1987,C,75.0,279,10.5,David Alexander,Tulsa (OK),22.764383561643800,32.75,5.13,27.5,22.0,4.33,105.0,,
10004,1987,WR,72.1,202,10.0,Lyneal Alston,Southern Miss,22.778082191780800,33.0,4.64,32.0,7.0,4.52,114.0,,11.85
10005,1987,DE,76.5,273,8.75,Steve Alvord,Washington,22.583561643835600,34.0,4.86,28.5,18.0,4.49,108.0,,
10006,1987,CB,73.6,208,8.5,Anthony Anderson,Grambling State (LA),22.523287671232900,32.5,4.69,31.0,,4.48,111.0,,12.17
10007,1987,FB,72.3,220,10.25,Joe Armentrout,Wisconsin,22.493150684931500,30.5,4.71,31.0,18.0,4.16,116.0,,11.59
10008,1987,OT,76.0,284,10.25,Bruce Armstrong,Louisville,21.65205479452060,32.75,5.05,27.0,22.0,4.81,100.0,,
10009,1987,FS,71.3,191,9.0,Gene Atkins,Florida A&M,22.443835616438400,29.75,4.58,31.0,14.0,4.55,120.0,,12.05
10010,1987,TE,77.0,239,9.5,Robert Awalt,San Diego State,23.065753424657500,30.75,4.86,28.0,,4.45,108.0,,12.07
10011,1987,WR,68.0,157,8.25,Stephen Baker,Frenso State (CA),22.673972602739700,30.25,4.6,31.0,,4.41,116.0,,11.89
10012,1987,DT,72.1,292,9.0,Jerry Ball,Southern Methodist,22.38082191780820,31.25,5.14,24.0,23.0,4.77,96.0,,
10013,1987,DT,76.0,250,8.5,Robert Banks,Notre Dame,23.397260273972600,31.5,4.98,,18.0,,,,
10014,1987,WR,70.1,188,9.5,Roy Banks,Eastern Illlinois,21.424657534246600,32.0,4.52,32.0,4.0,4.26,114.0,,11.31
10015,1987,DE,75.4,259,10.0,Roland Barbay,Louisiana State,22.586301369863000,32.5,5.18,21.5,13.0,4.59,91.0,,
10016,1987,RB,68.8,201,9.5,Steve Bartalo,Colorado State,22.8,28.0,4.83,28.5,14.0,4.05,114.0,,11.34
10017,1987,OLB,74.3,250,9.75,Doug Bartlett,Northern Illinois,23.95068493150690,30.75,4.75,31.0,31.0,4.12,112.0,,
10018,1987,C,76.3,280,9.5,Harris Barton,North Carolina,23.03835616438360,31.75,5.03,31.0,24.0,4.46,106.0,,
10019,1987,TE,75.8,235,9.25,Gerald Bayless,Bowling Green (OH),,32.0,4.82,26.0,,4.34,108.0,,11.62
10020,1987,WR,70.8,174,9.25,Albert Bell,Alabama,23.027397260274000,30.0,4.63,29.5,4.0,4.5,114.0,,12.23
10021,1987,SS,70.8,201,8.75,Len Bell,Indiana,23.136986301369900,30.5,4.61,30.0,18.0,4.3,106.0,,11.8
10022,1987,WR,70.9,178,9.0,Mark Bellini,BYU,23.28767123287670,30.0,,,8.0,,,,
10023,1987,RB,75.0,238,10.0,Rod Bernstine,Texas A&M,22.23013698630140,32.25,4.68,29.5,18.0,4.39,112.0,,12.01
10024,1987,ILB,74.5,226,9.25,Ray Berry,Baylor,23.515068493150700,31.0,4.85,28.5,22.0,4.47,105.0,,12.01
10025,1987,QB,74.4,203,10.0,Steve Beuerlein,Notre Dame,22.156164383561600,30.0,5.1,23.0,3.0,4.63,93.0,,
10026,1987,WR,69.5,201,8.75,Alvin Blount,Maryland,22.21917808219180,31.25,4.58,35.0,13.0,4.17,116.0,,11.08
10027,1987,DT,74.6,254,8.75,Ron Bohm,Illinois,22.663013698630100,31.25,5.12,24.5,13.0,4.54,103.0,,
10028,1987,DE,76.1,267,9.75,John Bosa,Boston,23.312328767123300,31.5,4.85,28.0,27.0,4.41,99.0,,
10029,1987,CB,69.0,176,9.75,Stephen Braggs,Texas,21.676712328767100,29.75,4.55,28.5,7.0,4.1,111.0,,11.64
10030,1987,OLB,75.1,223,9.0,David Brandon,Memphis,22.22739726027400,32.0,4.73,26.5,9.0,4.45,108.0,,12.12
10031,1987,OG,76.3,279,9.75,Jeff Bregel,USC,23.005479452054800,31.0,5.4,28.5,20.0,4.63,108.0,,
10032,1987,WR,75.0,183,7.75,James Brim,Wake Forest,,32.0,4.53,32.0,7.0,4.12,116.0,,11.21
10033,1987,CB,70.6,163,9.5,Lou Brock,USC,22.986301369863000,31.25,,,,,,,
10034,1987,DT,74.3,292,9.75,Jerome Brown,Miami (FL),22.24109589041100,33.0,4.86,,17.0,,,,
10035,1987,RB,72.5,218,8.5,Tom Brown,Pittsburgh,22.44931506849320,29.75,4.69,25.5,19.0,4.35,97.0,,11.8
10036,1987,DE,77.0,250,9.25,Jason Buck,BYU,23.76986301369860,32.75,,,19.0,,,,
10037,1987,RB,72.0,220,9.5,Tony Burse,Middle Tennessee State,22.07945205479450,30.5,4.71,27.5,20.0,4.88,104.0,,12.37
10038,1987,QB,75.0,191,9.25,Cody Carlson,Baylor,23.493150684931500,31.0,4.82,29.5,,4.45,111.0,,
10039,1987,WR,71.8,182,9.25,Mark Carrier,Nicholls State (LA),21.512328767123300,30.75,4.46,30.0,9.0,4.51,114.0,,12.0
10040,1987,OLB,73.0,235,9.5,Toby Caston,Louisiana State,21.794520547945200,31.75,4.82,32.5,10.0,4.55,117.0,,12.18
10041,1987,DT,75.4,275,9.25,Dick Chapura,Missouri,22.882191780821900,32.5,,,,,,,
10042,1987,WR,69.3,170,9.5,Robert Clark,North Carolina Central,21.73972602739730,29.75,4.58,28.5,4.0,4.58,114.0,,11.63
10043,1987,OT,77.4,320,9.75,John Clay,Missouri,23.005479452054800,33.25,5.51,25.0,16.0,4.77,85.0,,
10044,1987,TE,64.9,163,8.25,Michael Clemons,William & Mary,22.295890410958900,28.25,4.67,29.0,9.0,4.42,108.0,,11.62
10045,1987,WR,73.0,193,9.75,Joey Clinkscales,Tennessee,22.95068493150690,31.75,4.61,32.5,,4.43,103.0,,11.78
10046,1987,OT,75.4,285,9.75,Chris Conlin,Penn State,21.904109589041100,32.25,5.33,23.0,21.0,4.59,92.0,,
10047,1987,CB,70.3,185,8.5,Toi Cook,Stanford,22.413698630137000,29.5,4.58,29.0,,4.3,114.0,,11.46
10048,1987,OT,76.8,281,10.5,Dave Croston,Iowa,23.47945205479450,33.75,5.48,24.5,14.0,4.76,92.0,,
10049,1987,CB,73.1,189,8.25,Brian Davis,Nebraska,23.673972602739700,30.5,4.45,35.5,8.0,4.17,119.0,,11.68
10050,1987,K,71.0,197,9.0,Greg Davis,Citadel,21.50958904109590,29.25,5.07,22.0,14.0,4.68,104.0,,
10051,1987,OG,75.9,301,9.0,John Davis,Georgia Tech,21.695890410958900,31.25,5.53,21.0,21.0,,,,
10052,1987,OT,78.3,292,10.25,Mark Dennis,Illinois,22.04931506849320,34.0,5.29,26.0,18.0,4.71,97.0,,
10053,1987,K,72.8,194,9.75,John Diettrich,Ball State (IN),23.986301369863000,30.25,,,1.0,,,,
10054,1987,OG,75.6,292,9.5,Randy Dixon,Pittsburgh,22.14246575342470,33.25,5.28,25.0,24.0,5.17,90.0,,
10055,1987,WR,71.0,188,9.5,Karl Dorrell,UCLA,,31.25,4.67,30.5,8.0,4.44,112.0,,11.77
