round,pick,combineId
1.0,1,10236.0
1.0,2,
1.0,3,10098.0
1.0,4,
1.0,5,
1.0,6,10227.0
1.0,7,10203.0
1.0,8,
1.0,9,10034.0
1.0,10,10262.0
1.0,11,10130.0
1.0,12,10171.0
1.0,13,10152.0
1.0,14,10056.0
1.0,15,10043.0
1.0,16,10028.0
1.0,17,10036.0
1.0,18,10261.0
1.0,19,10177.0
1.0,20,10114.0
1.0,21,10244.0
1.0,22,10018.0
1.0,23,10008.0
1.0,24,10023.0
1.0,25,10070.0
1.0,26,10092.0
1.0,27,10166.0
1.0,28,10109.0
2.0,29,10173.0
2.0,30,10049.0
2.0,31,10071.0
2.0,32,10190.0
2.0,33,10153.0
2.0,34,10147.0
2.0,35,10174.0
2.0,36,10196.0
2.0,37,10031.0
2.0,38,10087.0
2.0,39,10072.0
2.0,40,10100.0
2.0,41,10103.0
2.0,42,10081.0
2.0,43,10083.0
2.0,44,10024.0
2.0,45,10264.0
2.0,46,10118.0
2.0,47,10066.0
2.0,48,10129.0
2.0,49,10237.0
2.0,50,10161.0
2.0,51,10219.0
2.0,52,10254.0
2.0,53,10033.0
2.0,54,10158.0
2.0,55,10250.0
2.0,56,10206.0
3.0,57,10039.0
3.0,58,10073.0
3.0,59,10258.0
3.0,60,10030.0
3.0,61,10048.0
3.0,62,10010.0
3.0,63,10012.0
3.0,64,10038.0
3.0,65,10232.0
3.0,66,10134.0
3.0,67,10000.0
3.0,68,10266.0
3.0,69,
3.0,70,10208.0
3.0,71,10167.0
3.0,72,10238.0
3.0,73,10107.0
3.0,74,10097.0
3.0,75,10062.0
3.0,76,10021.0
3.0,77,10145.0
3.0,78,10164.0
3.0,79,10182.0
3.0,80,10141.0
3.0,81,10221.0
3.0,82,10110.0
3.0,83,10011.0
4.0,84,10084.0
4.0,85,10054.0
3.0,86,
4.0,87,10088.0
4.0,88,
4.0,89,
4.0,90,10205.0
4.0,91,10017.0
4.0,92,10202.0
4.0,93,10065.0
4.0,94,10067.0
4.0,95,10144.0
4.0,96,10242.0
4.0,97,10060.0
4.0,98,10074.0
4.0,99,10228.0
4.0,100,
4.0,101,10220.0
4.0,102,
4.0,103,10200.0
4.0,104,10156.0
4.0,105,
4.0,106,10099.0
4.0,107,10125.0
4.0,108,10127.0
4.0,109,10209.0
4.0,110,10025.0
4.0,111,10165.0
4.0,112,10243.0
5.0,113,10245.0
5.0,114,10014.0
5.0,115,10123.0
5.0,116,
5.0,117,10222.0
5.0,118,10230.0
5.0,119,
5.0,120,
5.0,121,10003.0
5.0,122,10170.0
5.0,123,10137.0
5.0,124,10076.0
5.0,125,10163.0
5.0,126,
5.0,127,10112.0
5.0,128,10234.0
5.0,129,
5.0,130,
5.0,131,
5.0,132,10046.0
5.0,133,10241.0
5.0,134,
5.0,135,10204.0
5.0,136,
5.0,137,
5.0,138,10120.0
5.0,139,
5.0,140,10172.0
6.0,141,10117.0
6.0,142,
6.0,143,10016.0
6.0,144,
6.0,145,10143.0
6.0,146,10075.0
6.0,147,10218.0
6.0,148,10135.0
6.0,149,10162.0
6.0,150,
6.0,151,
6.0,152,10096.0
6.0,153,10128.0
6.0,154,10001.0
6.0,155,
6.0,156,10198.0
6.0,157,10082.0
6.0,158,10185.0
6.0,159,10040.0
6.0,160,
6.0,161,
6.0,162,10251.0
6.0,163,10233.0
6.0,164,10213.0
6.0,165,10029.0
6.0,166,
6.0,167,10142.0
6.0,168,10199.0
7.0,169,10113.0
7.0,170,10022.0
7.0,171,10187.0
7.0,172,
7.0,173,
7.0,174,10180.0
7.0,175,
7.0,176,10013.0
7.0,177,10255.0
7.0,178,10126.0
7.0,179,10009.0
7.0,180,10231.0
7.0,181,10194.0
7.0,182,10035.0
7.0,184,10015.0
7.0,185,10235.0
7.0,186,10108.0
7.0,187,10169.0
7.0,188,
7.0,189,
7.0,190,
7.0,191,
7.0,192,
7.0,193,10093.0
7.0,194,10229.0
7.0,195,10094.0
8.0,196,
8.0,197,
8.0,198,
8.0,199,10136.0
8.0,200,
8.0,201,10005.0
8.0,202,10111.0
8.0,203,
8.0,204,
8.0,205,
8.0,206,10079.0
8.0,207,10047.0
8.0,208,
8.0,209,10151.0
8.0,210,
8.0,211,10069.0
8.0,212,10052.0
8.0,213,
8.0,214,
